Issue,Date,Words,Title,Author
Vol. 12 No. 8,19 April 1990,2552,Affinities,George Steiner
Vol. 12 No. 8,19 April 1990,2372,Into Africa,J.D.F. Jones
Vol. 12 No. 8,19 April 1990,1814,Russophobia,John Klier
Vol. 12 No. 8,19 April 1990,1419,Is this right?,J.P. Stern
Vol. 12 No. 8,19 April 1990,4501,Living like a moth,Michael Ignatieff
Vol. 12 No. 8,19 April 1990,2585,Hungry Ghosts,Paul Connerton
Vol. 12 No. 8,19 April 1990,2195,Bogwogs,Paul Foot
Vol. 12 No. 8,19 April 1990,2823,Ineffectuals,Peter Campbell
Vol. 12 No. 8,19 April 1990,2401,East Berlin Diary,Peter Pulzer
Vol. 12 No. 8,19 April 1990,2922,R.W. Johnson pays his respects to Mrs Luthuli,R.W. Johnson
Vol. 12 No. 8,19 April 1990,1934,Hunt the hacker,Sam Sifton
Vol. 12 No. 8,19 April 1990,2218,Special Place,Sean Wilentz
Vol. 12 No. 8,19 April 1990,357,Two Poems,Vicki Feaver
Vol. 12 No. 9,10 May 1990,3824,"Letters to an Editor – written by his contributor, A.J.P. Taylor, to Kingsley Martin of the ‘New Statesman’ at various times from 1951 to 1964",A.J.P. Taylor
Vol. 12 No. 9,10 May 1990,3812,Alan Macfarlane writes about the crisis in Nepal,Alan Macfarlane
Vol. 12 No. 9,10 May 1990,6218,Tolerant Repression,Blair Worden
Vol. 12 No. 9,10 May 1990,47,Poem: ‘A Candle’,Brad Leithauser
Vol. 12 No. 9,10 May 1990,2337,"Jazzy, Jyoti, Jase and Jane",Candia McWilliam
Vol. 12 No. 9,10 May 1990,117,Poem: ‘Turf’,C.H. Sisson
Vol. 12 No. 9,10 May 1990,2707,Diary,Christine Brooke-Rose
Vol. 12 No. 9,10 May 1990,2896,"Reader, he married her",Christopher Hitchens
Vol. 12 No. 9,10 May 1990,3071,Isle of Dogs,Iain Sinclair
Vol. 12 No. 9,10 May 1990,2627,They never married,Ian Hamilton
Vol. 12 No. 9,10 May 1990,1431,Vitality,John Cannon
Vol. 12 No. 9,10 May 1990,1922,Office Parties,Jose Harris
Vol. 12 No. 9,10 May 1990,88,Poem: ‘Part of One’s Education’,Matt Simpson
Vol. 12 No. 9,10 May 1990,2131,"Well done, Ian McEwan",Michael Wood
Vol. 12 No. 9,10 May 1990,1369,Prodigies,Patrick O’Brian
Vol. 12 No. 9,10 May 1990,2103,Jews on horseback,Peter Clarke
Vol. 12 No. 9,10 May 1990,3414,Clean Sweep,Philip Horne
Vol. 12 No. 9,10 May 1990,2938,Leadership,T.H. Breen
Vol. 12 No. 9,10 May 1990,3253,Women beware midwives,Tom Shippey
Vol. 12 No. 9,10 May 1990,2801,Evil Days,V.G. Kiernan
Vol. 12 No. 10,24 May 1990,3216,What is there to lose?,Adam Phillips
Vol. 12 No. 10,24 May 1990,1183,Thousands of Cans and Cartons,Christopher Hitchens
Vol. 12 No. 10,24 May 1990,2317,"Rough, tough and glamorous",D.A.N. Jones
Vol. 12 No. 10,24 May 1990,216,Poem: ‘No Smoking’,Fiona Pitt-Kethley
Vol. 12 No. 10,24 May 1990,2140,Modern Masters,Frank Kermode
Vol. 12 No. 10,24 May 1990,2127,It,Gabriele Annan
Vol. 12 No. 10,24 May 1990,2284,Before Darwin,Harriet Ritvo
Vol. 12 No. 10,24 May 1990,2338,Got to keep moving,Jeremy Harding
Vol. 12 No. 10,24 May 1990,2276,Baby Face,John Bayley
Vol. 12 No. 10,24 May 1990,2333,Self-Effacers,John Lanchester
Vol. 12 No. 10,24 May 1990,2901,Rhino-Breeder,John Sturrock
Vol. 12 No. 10,24 May 1990,158,Two Poems,Mark Ford
Vol. 12 No. 10,24 May 1990,2840,Uplift,Nicholas Canny
Vol. 12 No. 10,24 May 1990,3007,Concini and the Squirrel,Peter Campbell
Vol. 12 No. 10,24 May 1990,2150,War Poet,Robert Crawford
Vol. 12 No. 10,24 May 1990,2767,Kind Words for Strathpeffer,Rosalind Mitchison
Vol. 12 No. 10,24 May 1990,2593,Mrs Thatcher’s Ecstasy,Ross McKibbin
Vol. 12 No. 10,24 May 1990,2596,London Diary,Wendy Steiner
Vol. 12 No. 10,24 May 1990,1679,Ross McKibbin and the Rise of Labour,W.G. Runciman
Vol. 12 No. 11,14 June 1990,441,Poem: ‘Cockroach Story’,Anthony Thwaite
Vol. 12 No. 11,14 June 1990,1905,Japanese Love,Anthony Thwaite
Vol. 12 No. 11,14 June 1990,2160,Lying doggo,Christopher Reid
Vol. 12 No. 11,14 June 1990,3727,Baby-Sitter,Elaine Showalter
Vol. 12 No. 11,14 June 1990,3210,Protestant Country,George Bernard
Vol. 12 No. 11,14 June 1990,2070,Getting together,Heribert Adam
Vol. 12 No. 11,14 June 1990,2002,A Visit to Reichenau,John Barton
Vol. 12 No. 11,14 June 1990,2472,Hugging the cats,John Bayley
Vol. 12 No. 11,14 June 1990,2918,Royalties,John Sutherland
Vol. 12 No. 11,14 June 1990,3139,Burlington Bertie,Julian Symons
Vol. 12 No. 11,14 June 1990,2592,Hot Dogs,Malcolm Bull
Vol. 12 No. 11,14 June 1990,2984,Puck’s Dream,Mark Ford
Vol. 12 No. 11,14 June 1990,2399,Bonded by the bottle,Michael Wood
Vol. 12 No. 11,14 June 1990,1969,Prague Diary,Miroslav Holub
Vol. 12 No. 11,14 June 1990,2649,Where will this voyage end?,Neal Ascherson
Vol. 12 No. 11,14 June 1990,1657,Broadcasting and the Abyss,Norman Buchan
Vol. 12 No. 11,14 June 1990,4790,The Return of History,Raphael Samuel
Vol. 12 No. 11,14 June 1990,2344,Japanese Power,Richard Bowring
Vol. 12 No. 12,28 June 1990,2353,Islam and Reform,Akeel Bilgrami
Vol. 12 No. 12,28 June 1990,852,Three Poems,Andrew Motion
Vol. 12 No. 12,28 June 1990,2561,On the Stambul Train,Basil Davidson
Vol. 12 No. 12,28 June 1990,2231,De Mortuis,Christopher Driver
Vol. 12 No. 12,28 June 1990,3549,Heart of Darkness,Christopher Hitchens
Vol. 12 No. 12,28 June 1990,2023,Dangerous Liaisons,Frank Kermode
Vol. 12 No. 12,28 June 1990,1356,Mad John,Gabriele Annan
Vol. 12 No. 12,28 June 1990,2710,He don’t mean any harm,John Bayley
Vol. 12 No. 12,28 June 1990,1345,Kiss and tell,John Ryle
Vol. 12 No. 12,28 June 1990,1859,Deep down,Julian Symons
Vol. 12 No. 12,28 June 1990,3335,Dreadful Beasts,Mark Ridley
Vol. 12 No. 12,28 June 1990,2279,No Concubine,Mary Beard
Vol. 12 No. 12,28 June 1990,3260,Garbo &amp; Co,Paul Addison
Vol. 12 No. 12,28 June 1990,2387,Diary,Peter Clarke
Vol. 12 No. 12,28 June 1990,2539,"Many Causes, Many Cases",Peter Hall
Vol. 12 No. 12,28 June 1990,2386,Look at me,Raymond Fancher
Vol. 12 No. 12,28 June 1990,1905,Diamond Daggers,Stephen Wall
Vol. 12 No. 12,28 June 1990,2664,Soap,Wendy Steiner
Vol. 12 No. 13,12 July 1990,1783,Burnished and braced,Alethea Hayter
Vol. 12 No. 13,12 July 1990,1923,Real women stay at home,Anne Hollander
Vol. 12 No. 13,12 July 1990,2885,"Being all right, and being wrong",Barbara Everett
Vol. 12 No. 13,12 July 1990,2791,Kinsfolk,D.A.N. Jones
Vol. 12 No. 13,12 July 1990,2495,Must the grasshopper be a burden?,D.J. Enright
Vol. 12 No. 13,12 July 1990,2844,Homer and Virgil and Broch,George Steiner
Vol. 12 No. 13,12 July 1990,3687,In Praise of Middle Government,Ian Gilmour
Vol. 12 No. 13,12 July 1990,2663,John Lanchester watches the World Cup,John Lanchester
Vol. 12 No. 13,12 July 1990,2018,Skullscape,Jonathan Coe
Vol. 12 No. 13,12 July 1990,2549,Berlin Diary,Onora O’Neill
Vol. 12 No. 13,12 July 1990,3417,Down with Ceausescu! Long live Iliescu!,Owen Bennett-Jones
Vol. 12 No. 13,12 July 1990,932,The man whose portrait they painted,Patrick Procktor
Vol. 12 No. 13,12 July 1990,2940,Walking like Swinburne,P.N. Furbank
Vol. 12 No. 13,12 July 1990,699,Two Poems,Selima Hill
Vol. 12 No. 13,12 July 1990,2865,Comedowns,Susan Fromberg Schaeffer
Vol. 12 No. 13,12 July 1990,3429,Like water in water,Susan Rubin Suleiman
Vol. 12 No. 13,12 July 1990,2085,From the Urals to the Himalayas,T.H. Barrett
Vol. 12 No. 13,12 July 1990,2601,He with his gun and she with her satchel,Victor Mallet
Vol. 12 No. 14,26 July 1990,66,Poem: ‘Your Biographer’,Christopher Reid
Vol. 12 No. 14,26 July 1990,2273,Scrapbook,Edward Pearce
Vol. 12 No. 14,26 July 1990,2110,Fraternisation,Eric Evans
Vol. 12 No. 14,26 July 1990,4002,The Conservative MP George Walden on the year peace broke out,George Walden
Vol. 12 No. 14,26 July 1990,2643,Trips,Graham Coster
Vol. 12 No. 14,26 July 1990,2539,Poor Darwin,Harriet Ritvo
Vol. 12 No. 14,26 July 1990,551,Four Poems,Ian Hamilton
Vol. 12 No. 14,26 July 1990,2024,Seeing Curt Lemon blown up,James Wood
Vol. 12 No. 14,26 July 1990,1963,Diary,Karl Miller
Vol. 12 No. 14,26 July 1990,2312,Stage Kiss,Martin Crimp
Vol. 12 No. 14,26 July 1990,3195,With the wind in our shrouds,Mary Beard
Vol. 12 No. 14,26 July 1990,2413,Mizzlers,Patrick Parrinder
Vol. 12 No. 14,26 July 1990,2097,Changing the law,Paul Foot
Vol. 12 No. 14,26 July 1990,2757,Who’ll take Pretoria?,Rian Malan
Vol. 12 No. 14,26 July 1990,2649,Making things happen,Ross McKibbin
Vol. 12 No. 14,26 July 1990,2747,Footpaths,Tom Shippey
Vol. 12 No. 14,26 July 1990,3738,Pinochet’s Chile: Those who went and those who stayed,Tony Gould
Vol. 12 No. 15,16 August 1990,8539,The Fatness of Falstaff,Barbara Everett
Vol. 12 No. 15,16 August 1990,3043,Homage to Education,Colin McGinn
Vol. 12 No. 15,16 August 1990,2251,Comparisons with Weimar,David Biale
Vol. 12 No. 15,16 August 1990,3753,The Ruling Exception,David Cannadine
Vol. 12 No. 15,16 August 1990,1559,Knowledge Infinite,D.J. Enright
Vol. 12 No. 15,16 August 1990,3329,En famille,Douglas Johnson
Vol. 12 No. 15,16 August 1990,164,Poem: ‘Summer in Bucharest’,Fleur Adcock
Vol. 12 No. 15,16 August 1990,446,Two Poems,Hugo Williams
Vol. 12 No. 15,16 August 1990,1852,My Friend Sam,Jane Miller
Vol. 12 No. 15,16 August 1990,3356,UK Law,John Horgan
Vol. 12 No. 15,16 August 1990,3452,Downhill Racer,John Sutherland
Vol. 12 No. 15,16 August 1990,67,Poem: ‘Endpiece’,Les Murray
Vol. 12 No. 15,16 August 1990,3079,Sweet Homes and Tolerant Houses,Linda Colley
Vol. 12 No. 15,16 August 1990,2395,Diary,Peter Clarke
Vol. 12 No. 15,16 August 1990,2463,Huw should be so lucky,Philip Purser
Vol. 12 No. 15,16 August 1990,3309,Further Left,R.W. Johnson
Vol. 12 No. 16,30 August 1990,3967,Old Scores,Colin McGinn
Vol. 12 No. 16,30 August 1990,2539,Remembering the taeog,D.A.N. Jones
Vol. 12 No. 16,30 August 1990,2431,Out of the house,Dinah Birch
Vol. 12 No. 16,30 August 1990,631,Poem: ‘Forests of the Medieval World’,Don Coles
Vol. 12 No. 16,30 August 1990,1928,Various Reasons,F.H. Hinsley
Vol. 12 No. 16,30 August 1990,2517,What’s wrong with Desmond?,Ian Hamilton
Vol. 12 No. 16,30 August 1990,3543,All the Russias,J. Arch Getty
Vol. 12 No. 16,30 August 1990,3407,You may not need to know this,John Bayley
Vol. 12 No. 16,30 August 1990,2405,Diary,John Lanchester
Vol. 12 No. 16,30 August 1990,4158,Impatience,J.P. Stern
Vol. 12 No. 16,30 August 1990,169,Poem: ‘Cockcrow’,Patricia Beer
Vol. 12 No. 16,30 August 1990,2686,Das Boot,Patrick O’Brian
Vol. 12 No. 16,30 August 1990,3159,Into the sunset,Peter Clarke
Vol. 12 No. 16,30 August 1990,3304,Ranklings,Philip Horne
Vol. 12 No. 16,30 August 1990,1868,Engulfed,Philip Robins
Vol. 12 No. 16,30 August 1990,2678,What a progressive government will have to do,Ross McKibbin
Vol. 12 No. 17,13 September 1990,2415,Diary,Christopher Hitchens
Vol. 12 No. 17,13 September 1990,2664,The Great Mary,Dinah Birch
Vol. 12 No. 17,13 September 1990,3937,Homage to a Belly-Dancer,Edward Said
Vol. 12 No. 17,13 September 1990,5128,Sabotage,Gavin Millar
Vol. 12 No. 17,13 September 1990,2097,Something good,H. Stuart Hughes
Vol. 12 No. 17,13 September 1990,471,Poem: ‘The Week’s Events’,John Hollander
Vol. 12 No. 17,13 September 1990,2444,How criminals think,John Lanchester
Vol. 12 No. 17,13 September 1990,2822,Conversions,Jonathan Coe
Vol. 12 No. 17,13 September 1990,2097,Dirty Jokes,Julian Symons
Vol. 12 No. 17,13 September 1990,2336,Memories of Eden,Keith Kyle
Vol. 12 No. 17,13 September 1990,2425,How to be Green,Mary Douglas
Vol. 12 No. 17,13 September 1990,2461,Making movies in England,Michael Wood
Vol. 12 No. 17,13 September 1990,2351,What his father gets up to,Patrick Parrinder
Vol. 12 No. 17,13 September 1990,2363,Taken with Daisy,Peter Campbell
Vol. 12 No. 17,13 September 1990,3627,Objectivity,Samuel Scheffler
Vol. 12 No. 17,13 September 1990,2564,Uganda’s New Men,Victoria Brittain
Vol. 12 No. 18,27 September 1990,4338,Freud’s Idols,Adam Phillips
Vol. 12 No. 18,27 September 1990,3997,Righteous Turpitudes,Basil Davidson
Vol. 12 No. 18,27 September 1990,211,Poem: ‘Paradise for the Portuguese Queen’,Benjamin Ivry
Vol. 12 No. 18,27 September 1990,2048,Enormities,C.H. Sisson
Vol. 12 No. 18,27 September 1990,2584,Mary Swann’s Way,Danny Karlin
Vol. 12 No. 18,27 September 1990,452,Two Poems,D.J. Enright
Vol. 12 No. 18,27 September 1990,1935,Who’s best?,Douglas Johnson
Vol. 12 No. 18,27 September 1990,1462,Saving the Streams of Story,Frank Kermode
Vol. 12 No. 18,27 September 1990,2122,Futility,Gabriele Annan
Vol. 12 No. 18,27 September 1990,6847,Is the Soviet Union over?,John Lloyd
Vol. 12 No. 18,27 September 1990,3820,A Terrible Bad Cold,John Sutherland
Vol. 12 No. 18,27 September 1990,4417,Elephant Head,Karl Miller
Vol. 12 No. 18,27 September 1990,4099,Patriotic Work,M.F. Perutz
Vol. 12 No. 18,27 September 1990,1140,People’s Friend,Michael Brock
Vol. 12 No. 18,27 September 1990,3916,Two Americas and a Scotland,Nicholas Everett
Vol. 12 No. 18,27 September 1990,1579,Diary,Noël Annan
Vol. 12 No. 18,27 September 1990,1731,Medawar’s Knack,N.W. Pirie
Vol. 12 No. 18,27 September 1990,206,Poem: ‘Casting and Gathering’,Seamus Heaney
Vol. 12 No. 18,27 September 1990,2334,Mockmen,Stephen Wall
Vol. 12 No. 19,11 October 1990,4082,Out of the East,Blair Worden
Vol. 12 No. 19,11 October 1990,2392,Motiveless Malignity,D.A.N. Jones
Vol. 12 No. 19,11 October 1990,2295,Feminist Perplexities,Dinah Birch
Vol. 12 No. 19,11 October 1990,2799,The Man in White,Edward Pearce
Vol. 12 No. 19,11 October 1990,481,Two Poems,Fiona Pitt-Kethley
Vol. 12 No. 19,11 October 1990,2912,Our Fault,Frank Kermode
Vol. 12 No. 19,11 October 1990,3210,Kermode and Theory,Hayden White
Vol. 12 No. 19,11 October 1990,726,Four Poems,Hugo Williams
Vol. 12 No. 19,11 October 1990,2714,Soweto Diary,Jeremy Harding
Vol. 12 No. 19,11 October 1990,3066,Art’ll fix it,John Bayley
Vol. 12 No. 19,11 October 1990,1782,Sappho speaks,Mary Beard
Vol. 12 No. 19,11 October 1990,2924,Denying Dolores,Michael Mason
Vol. 12 No. 19,11 October 1990,3693,In a Dry Place,Nicolas Tredell
Vol. 12 No. 19,11 October 1990,2110,White Nights,Penelope Fitzgerald
Vol. 12 No. 19,11 October 1990,1188,Fighting off the Boche,Robert Kee
Vol. 12 No. 19,11 October 1990,2785,To litel Latin,Tom Shippey
Vol. 12 No. 20,25 October 1990,3322,Christopher Hitchens states a prosecution case,Christopher Hitchens
Vol. 12 No. 20,25 October 1990,3683,The Open Society and its Friends,Christopher Huhne
Vol. 12 No. 20,25 October 1990,211,Poem: ‘A Gift of a Rose’,Fred D’Aguiar
Vol. 12 No. 20,25 October 1990,843,Cat Poems,Gavin Ewart
Vol. 12 No. 20,25 October 1990,284,Poem: ‘Got me’,Glyn Maxwell
Vol. 12 No. 20,25 October 1990,2857,The Way Forward,Ian Gilmour
Vol. 12 No. 20,25 October 1990,2299,Nothing nasty in the woodshed,John Bayley
Vol. 12 No. 20,25 October 1990,3678,That Man Griffith,John Griffith
Vol. 12 No. 20,25 October 1990,2909,Devouring the pangolin,John Sutherland
Vol. 12 No. 20,25 October 1990,2171,Paul and Penny,Julian Symons
Vol. 12 No. 20,25 October 1990,100,Poem: ‘Timewise’,Martyn Crucefix
Vol. 12 No. 20,25 October 1990,357,Two Poems,Michael Hofmann
Vol. 12 No. 20,25 October 1990,5279,Impressions from a Journey in Central Europe,Michael Howard
Vol. 12 No. 20,25 October 1990,4160,Down with Age,Michael Young
Vol. 12 No. 20,25 October 1990,2650,Disturbingly Slender Waists,Miriam Rothschild
Vol. 12 No. 20,25 October 1990,3709,Troglodytes,Patrick Parrinder
Vol. 12 No. 20,25 October 1990,2197,So what if he was,Paul Foot
Vol. 12 No. 20,25 October 1990,3999,Condy’s Fluid,P.N. Furbank
Vol. 12 No. 20,25 October 1990,1797,Noam’s Ark,Walter Nash
Vol. 12 No. 20,25 October 1990,2030,Diary,William Rodgers
Vol. 12 No. 21,8 November 1990,3292,Vomiting in the marital bed,Carolyn Steedman
Vol. 12 No. 21,8 November 1990,2633,How’s the vampire?,Christopher Hitchens
Vol. 12 No. 21,8 November 1990,2596,Rabbit Resartus,Edward Pearce
Vol. 12 No. 21,8 November 1990,2747,Nelly gets her due,John Sutherland
Vol. 12 No. 21,8 November 1990,1783,Who they think they are,Julian Symons
Vol. 12 No. 21,8 November 1990,180,Poem: ‘Olly and Tim’,Laurence Lerner
Vol. 12 No. 21,8 November 1990,221,Poem: ‘Blue Roan’,Les Murray
Vol. 12 No. 21,8 November 1990,2143,That which is spoken,Marina Warner
Vol. 12 No. 21,8 November 1990,2698,Do women like sex?,Michael Mason
Vol. 12 No. 21,8 November 1990,2699,Triples,Michael Neve
Vol. 12 No. 21,8 November 1990,1351,Diary,Nicholas Penny
Vol. 12 No. 21,8 November 1990,3111,Wizard of Ox,Paul Addison
Vol. 12 No. 21,8 November 1990,2370,Progress Past,Paul Langford
Vol. 12 No. 21,8 November 1990,8776,Witchcraft,Perry Anderson
Vol. 12 No. 21,8 November 1990,1873,Weimarama,Richard J. Evans
Vol. 12 No. 21,8 November 1990,5302,Assurbanipal’s Classic,Stephanie West
Vol. 12 No. 22,22 November 1990,8,Poem: ‘Untitled’,Christian Stevens
Vol. 12 No. 22,22 November 1990,3391,Umpteens,Christopher Ricks
Vol. 12 No. 22,22 November 1990,3363,My Wicked Heart,Colin McGinn
Vol. 12 No. 22,22 November 1990,3671,Bernstein and Blitzstein,David Drew
Vol. 12 No. 22,22 November 1990,2682,One Thing,John Bayley
Vol. 12 No. 22,22 November 1990,2598,Warm Drops in Baghdad,John Simpson
Vol. 12 No. 22,22 November 1990,3001,God loveth adverbs,Jonathan Glover
Vol. 12 No. 22,22 November 1990,2534,Doing Philosophy,Julia Annas
Vol. 12 No. 22,22 November 1990,4241,Candles for the living,Julian Barnes
Vol. 12 No. 22,22 November 1990,2793,Dukology,Lawrence Stone
Vol. 12 No. 22,22 November 1990,1902,The New Restoration,Onora O’Neill
Vol. 12 No. 22,22 November 1990,2610,Who ruins Britain?,Peter Clarke
Vol. 12 No. 22,22 November 1990,2453,Private Lives,Ray Monk
Vol. 12 No. 22,22 November 1990,2532,Knowing the Gulf,Victor Mallet
Vol. 12 No. 22,22 November 1990,2659,Diary,W.G. Runciman
Vol. 12 No. 23,6 December 1990,99,Poem: ‘G. Lineker’,Alan Ross
Vol. 12 No. 23,6 December 1990,3588,How not to be disgusting,Anne Hollander
Vol. 12 No. 23,6 December 1990,2584,Heroic Irrigations,E.S. Turner
Vol. 12 No. 23,6 December 1990,1863,Lament for the members of a class of masters,Gabriele Annan
Vol. 12 No. 23,6 December 1990,3012,Top Dog,Geoffrey Hawthorn
Vol. 12 No. 23,6 December 1990,3188,Her way of helping me,Hugo Young
Vol. 12 No. 23,6 December 1990,3441,Bad News,Iain Sinclair
Vol. 12 No. 23,6 December 1990,111,Poem: ‘Bath Death’,James Michie
Vol. 12 No. 23,6 December 1990,1086,Gladys whispered,John Bayley
Vol. 12 No. 23,6 December 1990,3369,Born of the age we live in,John Lanchester
Vol. 12 No. 23,6 December 1990,2947,Where their real face was known,John Lloyd
Vol. 12 No. 23,6 December 1990,3055,Superhistory,Patrick Parrinder
Vol. 12 No. 23,6 December 1990,2052,Serious Dr Sonne,Philip Purser
Vol. 12 No. 23,6 December 1990,2399,Diary,Ross McKibbin
Vol. 12 No. 23,6 December 1990,10097,Dynasty,Sherry Turkle
Vol. 12 No. 24,20 December 1990,1819,Tio Sam,Christopher Hitchens
Vol. 12 No. 24,20 December 1990,5854,No Trousers,Claude Rawson
Vol. 12 No. 24,20 December 1990,3034,"’Oly, ’Oly, ’Oly",D.A.N. Jones
Vol. 12 No. 24,20 December 1990,2194,Diary,David Craig
Vol. 12 No. 24,20 December 1990,3160,Citizens,David Marquand
Vol. 12 No. 24,20 December 1990,321,Poem: ‘Standstill’,Hugo Williams
Vol. 12 No. 24,20 December 1990,2633,Kitchen Devil,John Bayley
Vol. 12 No. 24,20 December 1990,2808,Victor Ludorum,Julian Symons
Vol. 12 No. 24,20 December 1990,92,Poem: ‘Damned Spotting’,Lizbeth Rae
Vol. 12 No. 24,20 December 1990,2816,Muldoon – A Mystery,Michael Hofmann
Vol. 12 No. 24,20 December 1990,2564,Buttoned,Michael Ignatieff
Vol. 12 No. 24,20 December 1990,2218,After the Revolution,Owen Bennett-Jones
Vol. 12 No. 24,20 December 1990,7527,England’s Isaiah,Perry Anderson
Vol. 12 No. 24,20 December 1990,2547,Henry Hill and Laura Palmer,Philip Horne
Vol. 12 No. 24,20 December 1990,2148,That’s Hollywood,Stephen Frears
Vol. 12 No. 24,20 December 1990,2596,Highland Hearts,V.G. Kiernan
Vol. 13 No. 1,10 January 1991,309,Poem: ‘A Pride’,Alan Brownjohn
Vol. 13 No. 1,10 January 1991,3277,The Power of Sunshine,Alexander Cockburn
Vol. 13 No. 1,10 January 1991,9043,Kipling’s Lightning-Flash,Barbara Everett
Vol. 13 No. 1,10 January 1991,236,Poem: ‘Man in Space’,Charles Boyle
Vol. 13 No. 1,10 January 1991,2401,What is this Bernard?,Christopher Hitchens
Vol. 13 No. 1,10 January 1991,86,Poem: ‘A Perversion’,Christopher Reid
Vol. 13 No. 1,10 January 1991,2579,The Meaning of Mngwotngwotiki,Eric Korn
Vol. 13 No. 1,10 January 1991,2168,Hail to the Chief,Frank Kermode
Vol. 13 No. 1,10 January 1991,2084,Every Curve of Flesh,Gabriele Annan
Vol. 13 No. 1,10 January 1991,3268,Badoompa-doompa-doompa-doom,Graham Coster
Vol. 13 No. 1,10 January 1991,2480,Frank Acknowledgments,J.J. Lee
Vol. 13 No. 1,10 January 1991,2875,Presidential Criticism,John Sutherland
Vol. 13 No. 1,10 January 1991,2225,The National Curriculum,Ken Jones
Vol. 13 No. 1,10 January 1991,2162,Funny Old Fame,Patrick Parrinder
Vol. 13 No. 1,10 January 1991,2010,Lovers on a Train,Susannah Clapp
Vol. 13 No. 1,10 January 1991,2449,Truly Terrifying Things,Walter Nash
Vol. 13 No. 1,10 January 1991,1808,Diary,W.G. Runciman
Vol. 13 No. 2,24 January 1991,2844,Diary,Alan Bennett
Vol. 13 No. 2,24 January 1991,3778,Israel and the Gulf,Avi Shlaim
Vol. 13 No. 2,24 January 1991,3932,Eating animals is wrong,Colin McGinn
Vol. 13 No. 2,24 January 1991,1353,Young Marvin,Frank Kermode
Vol. 13 No. 2,24 January 1991,2178,La Perestroika,Harold Perkin
Vol. 13 No. 2,24 January 1991,1641,"Poem: ‘For Jon, Pam, Tom and Katie up in the air’",Ian Pople
Vol. 13 No. 2,24 January 1991,3037,Anna of All the Russias,John Bayley
Vol. 13 No. 2,24 January 1991,2523,Victim’s Voice,Julie Davidson
Vol. 13 No. 2,24 January 1991,2737,Thank God for John Rayburn,Mark Ford
Vol. 13 No. 2,24 January 1991,2395,Why Elster is stuck and needs to recover his faith,Martin Hollis
Vol. 13 No. 2,24 January 1991,1749,Lost in the rain,Michael Wood
Vol. 13 No. 2,24 January 1991,3812,Keeping up the fight,Paul Delany
Vol. 13 No. 2,24 January 1991,2861,Leader-Bashing,Robert Service
Vol. 13 No. 2,24 January 1991,2230,Mending the curtains,Rosalind Mitchison
Vol. 13 No. 2,24 January 1991,6377,Where little Fyodor played,Stephen Greenblatt
Vol. 13 No. 2,24 January 1991,2099,Magnificent Cuckolds,William Empson
Vol. 13 No. 3,7 February 1991,2191,Right Stuff,Alexander Cockburn
Vol. 13 No. 3,7 February 1991,2975,"Terrestrial Thoughts, Extraterrestrial Science",Bernard Williams
Vol. 13 No. 3,7 February 1991,2637,In Ontario,Carol Shields
Vol. 13 No. 3,7 February 1991,2596,Washington Diary,Christopher Hitchens
Vol. 13 No. 3,7 February 1991,3189,I wish she’d been a dog,Elaine Showalter
Vol. 13 No. 3,7 February 1991,1579,After the Woolwich,Frank Kermode
Vol. 13 No. 3,7 February 1991,2600,Bullies,Gabriele Annan
Vol. 13 No. 3,7 February 1991,3112,How the war in the Gulf affects the famine in Africa,Jeremy Harding
Vol. 13 No. 3,7 February 1991,1172,Poem: ‘The Voice from the Bridge’,Jon Stallworthy
Vol. 13 No. 3,7 February 1991,1838,"What ho, Giotto!",Julian Symons
Vol. 13 No. 3,7 February 1991,2871,Lines in the Sand,Keith Kyle
Vol. 13 No. 3,7 February 1991,1601,Longing for Croydon,Luke Jennings
Vol. 13 No. 3,7 February 1991,272,Poem: ‘On My Mother’s Side’,Matt Simpson
Vol. 13 No. 3,7 February 1991,3304,White Man’s Heaven,Michael Wood
Vol. 13 No. 3,7 February 1991,2448,Soviet Revisions,Oleg Gordievsky
Vol. 13 No. 3,7 February 1991,2305,‘Bye Bye Baghdad’,Paul Foot
Vol. 13 No. 3,7 February 1991,3234,Revenges,Ronald Fraser
Vol. 13 No. 3,7 February 1991,581,Poem: ‘A Retrospect’,Seamus Heaney
Vol. 13 No. 3,7 February 1991,2539,"What happened to the SDP, and what could still happen",William Rodgers
Vol. 13 No. 4,21 February 1991,2510,Audrey’s Eye,Anthony Quinn
Vol. 13 No. 4,21 February 1991,2806,Sex’n’Love,Blake Morrison
Vol. 13 No. 4,21 February 1991,2522,Maerdy Diary,Boris Ford
Vol. 13 No. 4,21 February 1991,3113,Swift radiant morning,D.J. Enright
Vol. 13 No. 4,21 February 1991,4983,"Poem: ‘A Letter to Wystan Auden, from Iceland’",Francis Spufford
Vol. 13 No. 4,21 February 1991,2048,Is writing bad for you?,Frank Kermode
Vol. 13 No. 4,21 February 1991,3689,Living Things,Ian Hacking
Vol. 13 No. 4,21 February 1991,2427,The Human Frown,John Bayley
Vol. 13 No. 4,21 February 1991,1771,Urgent,Julian Symons
Vol. 13 No. 4,21 February 1991,3136,Goodbye to the Comintern,Martin Kettle
Vol. 13 No. 4,21 February 1991,3694,Seeing yourself dead,Nicolas Tredell
Vol. 13 No. 4,21 February 1991,3177,The Road to 1989,Paul Addison
Vol. 13 No. 4,21 February 1991,1674,War Aims,Robert Fisk
