Issue,Date,Words,Title,Author
Vol. 2 No. 1,24 January 1980,1235,Book Reviews,David Trotter
Vol. 2 No. 1,24 January 1980,936,Short Legs,E.S. Turner
Vol. 2 No. 1,24 January 1980,2268,"Symbolism, Expressionism, Decadence",Frank Kermode
Vol. 2 No. 1,24 January 1980,2522,Sheep into Goats,Gabriele Annan
Vol. 2 No. 1,24 January 1980,3552,Syme’s Revolution,Hugh Lloyd-Jones
Vol. 2 No. 1,24 January 1980,3608,Strange Loops,James Lighthill
Vol. 2 No. 1,24 January 1980,3056,The Quest for Solidarity,John Dunn
Vol. 2 No. 1,24 January 1980,2745,House History,John Sutherland
Vol. 2 No. 1,24 January 1980,1650,People as Actors,J.Z. Young
Vol. 2 No. 1,24 January 1980,1303,Sound Advice for Scotch Reviewers,Karl Miller
Vol. 2 No. 1,24 January 1980,2185,Churchill’s Jackal,Kenneth O. Morgan
Vol. 2 No. 1,24 January 1980,2115,"Men, Women and English Girls",Lyndall Gordon
Vol. 2 No. 1,24 January 1980,1549,Ante Antietam,Michael Irwin
Vol. 2 No. 1,24 January 1980,1761,Sexual Nonconformism,Peter Laslett
Vol. 2 No. 1,24 January 1980,2327,Against Consciousness,Richard Gregory
Vol. 2 No. 1,24 January 1980,205,Poem: ‘Bookcase for the OED’,Richard Murphy
Vol. 2 No. 1,24 January 1980,1317,ODQ,Richard Usborne
Vol. 2 No. 1,24 January 1980,1382,Settings,Ronald Blythe
Vol. 2 No. 1,24 January 1980,1868,Lord Eskgrove’s Indecent Nose,Rosalind Mitchison
Vol. 2 No. 1,24 January 1980,4102,The Unhappy Vicar,Samuel Hynes
Vol. 2 No. 1,24 January 1980,2925,Stuart Hampshire writes about common decency,Stuart Hampshire
Vol. 2 No. 1,24 January 1980,3453,Mrs Thatcher’s Spengler,Tom Nairn
Vol. 2 No. 1,24 January 1980,2995,Advanced Thought,William Empson
Vol. 2 No. 1,24 January 1980,1910,Wynne Godley calls for general import controls,Wynne Godley
Vol. 2 No. 2,7 February 1980,1725,Uncrownable King and Queen,Christopher Sykes
Vol. 2 No. 2,7 February 1980,1905,Venus de Silo by,Dan Jacobson
Vol. 2 No. 2,7 February 1980,2938,Napoleonology,Douglas Johnson
Vol. 2 No. 2,7 February 1980,2685,English Changing,Frank Kermode
Vol. 2 No. 2,7 February 1980,2222,A Philosopher’s Character,Gareth Evans
Vol. 2 No. 2,7 February 1980,1927,Englishmen’s Castles,Gavin Stamp
Vol. 2 No. 2,7 February 1980,1802,John Cheever’s Wapshot Annals,Graham Hough
Vol. 2 No. 2,7 February 1980,1855,Walter Scott’s Post-War Europe,Marilyn Butler
Vol. 2 No. 2,7 February 1980,3890,Joan Didion’s Style,Martin Amis
Vol. 2 No. 2,7 February 1980,1219,Sideburns,Mary Warnock
Vol. 2 No. 2,7 February 1980,2446,Vonnekit,Michael Mason
Vol. 2 No. 2,7 February 1980,3268,What sort of traitors?,Neal Ascherson
Vol. 2 No. 2,7 February 1980,95,Poem: ‘The Princess and the Pea’,Paul Muldoon
Vol. 2 No. 2,7 February 1980,1843,Cornelius Gallus lives,Peter Parsons
Vol. 2 No. 2,7 February 1980,3597,A Charismatic View of Pornography,Richard Wollheim
Vol. 2 No. 2,7 February 1980,4539,Possible Worlds and Premature Sciences,Roger Scruton
Vol. 2 No. 2,7 February 1980,1757,Homage to Marginality,Tony Tanner
Vol. 2 No. 2,7 February 1980,4044,New-Model History,Valerie Pearl
Vol. 2 No. 2,7 February 1980,144,Poem: ‘Autumn’,Vicki Feaver
Vol. 2 No. 2,7 February 1980,822,Olga Knipper,Virginia Llewellyn Smith
Vol. 2 No. 3,21 February 1980,2433,Unmatched Antiquary,Blair Worden
Vol. 2 No. 3,21 February 1980,3048,James Joyce and the Reader’s Understanding,Brigid Brophy
Vol. 2 No. 3,21 February 1980,2161,Canons and Conveniences,Charles Hope
Vol. 2 No. 3,21 February 1980,1724,Centrepoint,Dick Taverne
Vol. 2 No. 3,21 February 1980,2529,A Writer’s Fancy,D.J. Enright
Vol. 2 No. 3,21 February 1980,1790,Learning to speak,Gay Clifford
Vol. 2 No. 3,21 February 1980,2459,Gillian Avery on recent attempts to make children laugh,Gillian Avery
Vol. 2 No. 3,21 February 1980,2148,Truth,Hans Keller
Vol. 2 No. 3,21 February 1980,2282,Pool of Consciousness,Jane Miller
Vol. 2 No. 3,21 February 1980,3026,Facts and Makings,John Bayley
Vol. 2 No. 3,21 February 1980,2009,Middle Eastern Passions,Keith Kyle
Vol. 2 No. 3,21 February 1980,2224,Boundary Books,Margaret Meek
Vol. 2 No. 3,21 February 1980,3491,Narcissism and its Discontents,Mary-Kay Wilmers
Vol. 2 No. 3,21 February 1980,2727,Wittgenstein and the Simple Object,Norman Malcolm
Vol. 2 No. 3,21 February 1980,1593,Following the plot,Penelope Fitzgerald
Vol. 2 No. 3,21 February 1980,1751,Piaget v. Chomsky,Peter Bryant
Vol. 2 No. 3,21 February 1980,1680,Pretty Things,Peter Campbell
Vol. 2 No. 3,21 February 1980,2390,British Marxism,Richard Norman
Vol. 2 No. 3,21 February 1980,6106,A Walk with Kierkegaard,Roger Poole
Vol. 2 No. 3,21 February 1980,3004,"Wanting and Not Getting, Getting and Not Wanting",Rosemary Dinnage
Vol. 2 No. 3,21 February 1980,565,Two Poems,Ted Hughes
Vol. 2 No. 4,6 March 1980,2873,"Angela Carter responds to Bertolucci’s movie, ‘La Luna’",Angela Carter
Vol. 2 No. 4,6 March 1980,1900,Knocking Through,Bernard Williams
Vol. 2 No. 4,6 March 1980,151,Poem: ‘A Disaffected Old Man’,Christopher Reid
Vol. 2 No. 4,6 March 1980,4402,Mailer’s Psychopath,Christopher Ricks
Vol. 2 No. 4,6 March 1980,3263,What’s wrong with Britain,David Marquand
Vol. 2 No. 4,6 March 1980,1688,Comparative Everything,Geoffrey Strickland
Vol. 2 No. 4,6 March 1980,2409,Eliot’s End,Graham Hough
Vol. 2 No. 4,6 March 1980,1919,Blowing It,Ian Hamilton
Vol. 2 No. 4,6 March 1980,4678,Great Good Places of the Mind,John Passmore
Vol. 2 No. 4,6 March 1980,1371,Barbara Pym’s Hymn,Karl Miller
Vol. 2 No. 4,6 March 1980,1629,Flowering and Fading,Michael Irwin
Vol. 2 No. 4,6 March 1980,1040,Simplicity Smith,Rosalind Mitchison
Vol. 2 No. 4,6 March 1980,3247,Love and Crime,Theodore Zeldin
Vol. 2 No. 4,6 March 1980,854,Rochet and Chimère,V.S. Pritchett
Vol. 2 No. 5,20 March 1980,317,Poem: ‘The House Through’,Andrew Motion
Vol. 2 No. 5,20 March 1980,1460,Dubliners,Charles Lysaght
Vol. 2 No. 5,20 March 1980,2325,Everything is susceptible,Douglas Dunn
Vol. 2 No. 5,20 March 1980,4051,"Goldthorpe, Halsey and Social Class",Edmund Leach
Vol. 2 No. 5,20 March 1980,2980,The French historian Emmanuel Le Roy Ladurie discusses J.H. Hexter’s book reviews,Emmanuel Le Roy Ladurie
Vol. 2 No. 5,20 March 1980,5623,Educating the planet,Frank Kermode
Vol. 2 No. 5,20 March 1980,2201,Smileyfication,Ian Hamilton
Vol. 2 No. 5,20 March 1980,2104,Supreme Kidnap,James Fox
Vol. 2 No. 5,20 March 1980,1742,Michael Mason writes about the debate in London University on whether Anthony Blunt should keep his emeritus chair,Michael Mason
Vol. 2 No. 5,20 March 1980,1477,A Book of Evasions,Paul Muldoon
Vol. 2 No. 5,20 March 1980,1609,Dead Cats and Fungi,Robert Taubman
Vol. 2 No. 5,20 March 1980,3160,Transfigurations,Roger Garfitt
Vol. 2 No. 5,20 March 1980,1289,Two Voices,Seamus Heaney
Vol. 2 No. 5,20 March 1980,2234,The Case for Negative Thinking,V.S. Pritchett
Vol. 2 No. 6,3 April 1980,1349,Dynasties,Antonia Fraser
Vol. 2 No. 6,3 April 1980,5051,These Staggering Questions,Clive James
Vol. 2 No. 6,3 April 1980,2562,Making peace,Dan Gillon
Vol. 2 No. 6,3 April 1980,1080,Naked and glistening,Dan Jacobson
Vol. 2 No. 6,3 April 1980,3055,"Daughters, Dress Shirts, Spotted Dick",Geoffrey Hawthorn
Vol. 2 No. 6,3 April 1980,2125,Survivors,Graham Hough
Vol. 2 No. 6,3 April 1980,4130,The Professor,Marilyn Butler
Vol. 2 No. 6,3 April 1980,6477,Ideas and the Novel: Henry James and some others,Mary McCarthy
Vol. 2 No. 6,3 April 1980,219,Poem: ‘Sunday Lunch’,Michael Vince
Vol. 2 No. 6,3 April 1980,2189,Beyond Discussion,Neal Ascherson
Vol. 2 No. 6,3 April 1980,2791,Rabelais’s Box,Peter Burke
Vol. 2 No. 6,3 April 1980,2367,Anglo-America,Stephen Fender
Vol. 2 No. 6,3 April 1980,2849,Under Rose’s Rule,Tim Hilton
Vol. 2 No. 7,17 April 1980,1392,The Phonemic Grail,A.C. Gimson
Vol. 2 No. 7,17 April 1980,3234,"Ayer, Anscombe and Empiricism",Alasdair MacIntyre
Vol. 2 No. 7,17 April 1980,1424,Paley’s People,Angela Carter
Vol. 2 No. 7,17 April 1980,2523,Christianity’s Doppelgänger,C.H. Roberts
Vol. 2 No. 7,17 April 1980,175,Poem: ‘The Gallery’,Douglas Dunn
Vol. 2 No. 7,17 April 1980,3557,The Road to Chandrapore,Eric Stokes
Vol. 2 No. 7,17 April 1980,3417,Imperfect Knight,Gabriel Josipovici
Vol. 2 No. 7,17 April 1980,1051,Jim and Pedro,Geoffrey Best
Vol. 2 No. 7,17 April 1980,2407,Glaucus and Ione,Hugh Lloyd-Jones
Vol. 2 No. 7,17 April 1980,2787,Literal meaning and fictional utterance,John McDowell
Vol. 2 No. 7,17 April 1980,2475,Taking sides,Karl Miller
Vol. 2 No. 7,17 April 1980,7477,Ideas and the Novel: Dostoevsky’s ‘The Possessed’,Mary McCarthy
Vol. 2 No. 7,17 April 1980,1353,German Jew,Michael Irwin
Vol. 2 No. 7,17 April 1980,2627,An Ecology of Ecstasy,Nicholas Humphrey
Vol. 2 No. 7,17 April 1980,2175,Whipping the wicked,Peter Clarke
Vol. 2 No. 7,17 April 1980,841,Horrid Boy,Polly Toynbee
Vol. 2 No. 7,17 April 1980,6712,Elizabethan Spirits,William Empson
Vol. 2 No. 8,1 May 1980,1663,Jon Elster’s Brisk Meditations,Bernard Williams
Vol. 2 No. 8,1 May 1980,1687,Graham Greene Possessed,Brigid Brophy
Vol. 2 No. 8,1 May 1980,200,Poem: ‘At the Edge’,Charles Tomlinson
Vol. 2 No. 8,1 May 1980,2450,What became of Modernism?,C.K. Stead
Vol. 2 No. 8,1 May 1980,1754,Law and Class,Francis Bennion
Vol. 2 No. 8,1 May 1980,103,Poem: ‘On the Surrey/Hampshire Border’,Gavin Ewart
Vol. 2 No. 8,1 May 1980,2540,Vagueness,Hans Keller
Vol. 2 No. 8,1 May 1980,4586,Apartheid gains a constitution,Keith Kyle
Vol. 2 No. 8,1 May 1980,139,Poem: ‘The Conjurer’,Patricia Beer
Vol. 2 No. 8,1 May 1980,2616,Grand Old Man,Robert Blake
Vol. 2 No. 8,1 May 1980,2070,Standing at ease,Robert Taubman
Vol. 2 No. 8,1 May 1980,2172,High Time for Reform,Rosalind Mitchison
Vol. 2 No. 8,1 May 1980,5253,Berenson’s Elixir,Simon Schama
Vol. 2 No. 8,1 May 1980,2217,Hatless to Hindhead,Susannah Clapp
Vol. 2 No. 8,1 May 1980,2026,Topographer Royal,William Vaughan
Vol. 2 No. 9,15 May 1980,75,Poem: ‘Intruder’,Adam Phillips
Vol. 2 No. 9,15 May 1980,2411,Titbits,Alan Brien
Vol. 2 No. 9,15 May 1980,1008,Male and Female,Alex Comfort
Vol. 2 No. 9,15 May 1980,2810,Samuel’s Slave,Caroline Moorehead
Vol. 2 No. 9,15 May 1980,1789,Consequences,Christopher Reid
Vol. 2 No. 9,15 May 1980,4541,D.J. Enright is soon to bring out his ‘Oxford Book of Contemporary Verse 1945-1980’. Here is the substance of his introductory statement.,D.J. Enright
Vol. 2 No. 9,15 May 1980,989,Dear Sir,E.S. Turner
Vol. 2 No. 9,15 May 1980,2755,Novels about Adultery,Frank Kermode
Vol. 2 No. 9,15 May 1980,1831,Views of Marx,G.A. Cohen
Vol. 2 No. 9,15 May 1980,1918,Likeable People,John Sutherland
Vol. 2 No. 9,15 May 1980,1722,London Review of Books: Separate Publication,Karl Miller
Vol. 2 No. 9,15 May 1980,2196,Settling accounts,Keith Walker
Vol. 2 No. 9,15 May 1980,2127,The Tories’ Death-Wish,Kenneth O. Morgan
Vol. 2 No. 9,15 May 1980,219,Poem: ‘Kaspar Hauser’,Laurence Lerner
Vol. 2 No. 9,15 May 1980,2979,Ireland’s Invisibilities,Owen Dudley Edwards
Vol. 2 No. 9,15 May 1980,3216,News of the World’s End,Peter Jenkins
Vol. 2 No. 9,15 May 1980,1622,The Schoolmen ride again,Richard Mayne
Vol. 2 No. 9,15 May 1980,2014,Character References,Robert Taubman
Vol. 2 No. 9,15 May 1980,371,Two Poems,Susannah Amoore
Vol. 2 No. 9,15 May 1980,75,Poem: ‘Nightjar’,Ted Hughes
Vol. 2 No. 9,15 May 1980,2636,The Patient’s Story,Thomas McKeown
Vol. 2 No. 10,22 May 1980,2195,Informed Sources,Antony Jay
Vol. 2 No. 10,22 May 1980,3816,Donald Davie and the English,Christopher Ricks
Vol. 2 No. 10,22 May 1980,1989,Second World War-Game,Douglas Johnson
Vol. 2 No. 10,22 May 1980,4967,Hangchow Retrouvé,Emma Rothschild
Vol. 2 No. 10,22 May 1980,2215,Oldham,Frank Kermode
Vol. 2 No. 10,22 May 1980,2340,"Graham Hough writes about the faithful, and the frightful",Graham Hough
